"Activity Date","Process Date","Settle Date","Instrument","Description","Trans Code","Quantity","Price","Amount"
"3/27/2026","3/27/2026","3/30/2026","TSLL","TSLL 4/2/2026 Put $12.00","STO","20","$0.66","$1,319.13"
"3/27/2026","3/27/2026","3/30/2026","TSLL","TSLL 3/27/2026 Put $12.00","BTC","20","$0.31","($620.80)"
"3/27/2026","3/27/2026","3/30/2026","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Dividend Reinvestment","Buy","0.189307","$398.98","($75.53)"
"3/26/2026","3/26/2026","3/26/2026","VOOG","Cash Div: R/D 2026-03-24 P/D 2026-03-26 - 129.89323 shares at 0.5815","CDIV","","","$75.53"
"3/24/2026","3/24/2026","3/25/2026","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.727766","$412.22","($300.00)"
"3/24/2026","3/24/2026","3/25/2026","","ACH Deposit","ACH","","","$300.00"
"3/23/2026","3/23/2026","3/24/2026","TNA","TNA 3/27/2026 Call $48.50","STO","5","$0.79","$394.78"
"3/20/2026","3/20/2026","3/23/2026","DG","Option Expiration for DG 3/20/2026 Call $136.00","OEXP","1","",""
"3/20/2026","3/20/2026","3/23/2026","TNA","Option Expiration for TNA 3/20/2026 Call $48.00","OEXP","5","",""
"3/20/2026","3/20/2026","3/23/2026","ANET","Option Expiration for ANET 3/20/2026 Call $150.00","OEXP","8S","",""
"3/20/2026","3/20/2026","3/23/2026","TSLL","TSLL 3/27/2026 Put $12.00","STO","10","$0.36","$359.57"
"3/20/2026","3/20/2026","3/23/2026","TSLL","TSLL 3/27/2026 Put $12.00","STO","10","$0.36","$359.57"
"3/18/2026","3/18/2026","3/19/2026","ANET","ANET 3/20/2026 Put $140.00","BTC","1","$5.43","($543.04)"
"3/18/2026","3/18/2026","3/19/2026","","ACH Withdrawal","ACH","","","($2,500.00)"
"3/17/2026","3/17/2026","3/18/2026","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.701562","$427.62","($300.00)"
"3/17/2026","3/17/2026","3/18/2026","","ACH Deposit","ACH","","","$300.00"
"3/16/2026","3/16/2026","3/17/2026","DG","DG 3/20/2026 Call $136.00","STO","1","$1.83","$182.95"
"3/16/2026","3/16/2026","3/17/2026","TNA","TNA 3/20/2026 Call $48.00","STO","5","$0.82","$409.78"
"3/13/2026","3/13/2026","3/16/2026","DG","DG 3/13/2026 Put $140.00","OASGN","1","",""
"3/13/2026","3/13/2026","3/16/2026","DG","Dollar General
CUSIP: 256677105
1 DG Option Assigned","Buy","100","$140.00","($14,000.00)"
"3/13/2026","3/13/2026","3/16/2026","TNA","TNA 3/13/2026 Put $45.00","OASGN","5","",""
"3/13/2026","3/13/2026","3/16/2026","TNA","Direxion Daily Small Cap Bull 3x ETF
CUSIP: 25459W847
5 TNA Options Assigned","Buy","500","$45.00","($22,500.00)"
"3/11/2026","3/11/2026","3/12/2026","DG","DG 3/13/2026 Put $140.00","STO","1","$4.00","$399.95"
"3/10/2026","3/10/2026","3/11/2026","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.688815","$435.53","($300.00)"
"3/10/2026","3/10/2026","3/11/2026","","ACH Deposit","ACH","","","$300.00"
"3/10/2026","3/10/2026","3/11/2026","ANET","ANET 3/20/2026 Put $140.00","STO","1","$5.40","$539.95"
"3/10/2026","3/10/2026","3/11/2026","ANET","ANET 3/20/2026 Call $150.00","BTO","8","$1.92","($1,536.32)"
"3/9/2026","3/9/2026","3/9/2026","","Event Contracts Inter-Entity Cash Transfer","FUTSWP","","","($64.98)"
"3/6/2026","3/6/2026","3/9/2026","PLTR","PLTR 3/6/2026 Call $143.00","OASGN","2","",""
"3/6/2026","3/6/2026","3/9/2026","PLTR","Palantir Technologies
CUSIP: 69608A108
2 PLTR Options Assigned","Sell","200","$143.00","$28,599.96"
"3/6/2026","3/6/2026","3/9/2026","HOOD","HOOD 3/6/2026 Put $75.00","BTC","3","$0.06","($18.12)"
"3/6/2026","3/6/2026","3/9/2026","NVDA","NVDA 3/6/2026 Put $180.00","BTC","1","$0.44","($44.04)"
"3/5/2026","3/5/2026","3/6/2026","TNA","TNA 3/13/2026 Put $45.00","STO","5","$0.96","$479.78"
"3/4/2026","3/4/2026","3/5/2026","AVGO","AVGO 3/6/2026 Put $300.00","BTC","1","$4.58","($458.04)"
"3/3/2026","3/3/2026","3/4/2026","VOOG","Vanguard S&P 500 Growth ETF
CUSIP: 921932505
Recurring","Buy","0.699463","$428.90","($300.00)"
"3/3/2026","3/3/2026","3/4/2026","","ACH Deposit","ACH","","","$300.00"
"2/27/2026","2/27/2026","2/27/2026","","Brokerage-held Cash Interest Payment","INT","","","$12.77"
"2/27/2026","2/27/2026","2/27/2026","","Interest Payment","INT","","","$25.46"
"2/27/2026","2/27/2026","2/27/2026","","Gold Subscription Fee","GOLD","","","($5.00)"
"2/26/2026","2/26/2026","2/27/2026","NVDA","NVDA 3/6/2026 Put $180.00","STO","1","$2.39","$238.95"
